GameID,GameDate,Status,AwayTeamID,AwayTeamScore,AwayTeamRecordWins,AwayTeamRecordLosses,AwayTeamRecordPct,HomeTeamID,HomeTeamScore,HomeTeamRecordWins,HomeTeamRecordLosses,HomeTeamRecordPct,VenueID,Season,DayNight,GamesInSeries,SeriesGameNumber,SeriesDescription
565895,2019/03/28 10:05,Final,121,2,1,0,1.000,120,0,0,1,.000,3309,2019,day,3,1,Regular Season
567456,2019/03/28 10:05,Final,110,2,0,1,.000,147,7,1,0,1.000,3313,2019,day,3,1,Regular Season
567552,2019/03/28 11:10,Final,138,4,0,1,.000,158,5,1,0,1.000,32,2019,day,4,1,Regular Season
567059,2019/03/28 12:05,Final,144,4,0,1,.000,143,10,1,0,1.000,2681,2019,day,3,1,Regular Season
566864,2019/03/28 12:37,Final,116,2,1,0,1.000,141,0,0,1,.000,14,2019,day,4,1,Regular Season
566664,2019/03/28 13:00,Final,117,5,1,0,1.000,139,1,0,1,.000,12,2019,day,4,1,Regular Season
566763,2019/03/28 13:05,Final,112,12,1,0,1.000,140,4,0,1,.000,13,2019,day,3,1,Regular Season
566086,2019/03/28 13:07,Final,108,0,0,1,.000,133,4,1,2,.333,10,2019,day,4,1,Regular Season
565220,2019/03/28 13:10,Final,134,3,0,1,.000,113,5,1,0,1.000,2602,2019,day,2,1,Regular Season
567359,2019/03/28 13:10,Final,115,6,1,0,1.000,146,3,0,1,.000,4169,2019,day,4,1,Regular Season
566962,2019/03/28 13:10,Final,114,0,0,1,.000,142,2,1,0,1.000,3312,2019,day,3,1,Regular Season
566275,2019/03/28 13:10,Final,137,0,0,1,.000,135,2,1,0,1.000,2680,2019,day,4,1,Regular Season
565799,2019/03/28 13:10,Final,109,5,0,1,.000,119,12,1,0,1.000,22,2019,day,4,1,Regular Season
565702,2019/03/28 13:15,Final,145,3,0,1,.000,118,5,1,0,1.000,7,2019,day,3,1,Regular Season
566372,2019/03/28 16:10,Final,111,4,0,1,.000,136,12,3,0,1.000,680,2019,day,4,1,Regular Season
566865,2019/03/29 16:07,Final,116,0,1,1,.500,141,6,1,1,.500,14,2019,night,4,2,Regular Season
567360,2019/03/29 16:10,Final,115,6,2,0,1.000,146,1,0,2,.000,4169,2019,night,4,2,Regular Season
566665,2019/03/29 16:10,Final,117,2,1,1,.500,139,4,1,1,.500,12,2019,night,4,2,Regular Season
567553,2019/03/29 17:10,Final,138,9,1,1,.500,158,5,1,1,.500,32,2019,night,4,2,Regular Season
566087,2019/03/29 19:07,Final,108,6,1,1,.500,133,2,1,3,.250,10,2019,night,4,2,Regular Season
566373,2019/03/29 19:10,Final,111,7,1,1,.500,136,6,3,1,.750,680,2019,night,4,2,Regular Season
566276,2019/03/29 19:10,Final,137,1,0,2,.000,135,4,2,0,1.000,2680,2019,night,4,2,Regular Season
565800,2019/03/29 19:10,Final,109,5,1,1,.500,119,4,1,1,.500,22,2019,night,4,2,Regular Season
565896,2019/03/30 10:05,Final,121,11,2,0,1.000,120,8,0,2,.000,3309,2019,day,3,2,Regular Season
567457,2019/03/30 10:05,Final,110,5,1,1,.500,147,3,1,1,.500,3313,2019,day,3,2,Regular Season
566963,2019/03/30 11:10,Final,114,2,1,1,.500,142,1,1,1,.500,3312,2019,day,3,2,Regular Season
565703,2019/03/30 11:15,Final,145,6,0,2,.000,118,8,2,0,1.000,7,2019,day,3,2,Regular Season
566866,2019/03/30 12:07,Final,116,0,1,2,.333,141,3,2,1,.667,14,2019,day,4,3,Regular Season
567060,2019/03/30 13:05,Final,144,6,0,2,.000,143,8,2,0,1.000,2681,2019,day,3,2,Regular Season
567361,2019/03/30 15:10,Final,115,3,2,1,.667,146,7,1,2,.333,4169,2019,night,4,3,Regular Season
566666,2019/03/30 15:10,Final,117,1,1,2,.333,139,3,2,1,.667,12,2019,night,4,3,Regular Season
567554,2019/03/30 16:10,Final,138,2,1,2,.333,158,4,2,1,.667,32,2019,night,4,3,Regular Season
566764,2019/03/30 17:05,Final,112,6,1,1,.500,140,8,1,1,.500,13,2019,night,3,2,Regular Season
566277,2019/03/30 17:40,Final,137,3,1,2,.333,135,2,2,1,.667,2680,2019,night,4,3,Regular Season
566088,2019/03/30 18:07,Final,108,2,1,2,.333,133,4,2,3,.400,10,2019,night,4,3,Regular Season
566374,2019/03/30 18:10,Final,111,5,1,2,.333,136,6,4,1,.800,680,2019,night,4,3,Regular Season
565801,2019/03/30 18:10,Final,109,5,1,2,.333,119,18,2,1,.667,22,2019,night,4,3,Regular Season
567458,2019/03/31 10:05,Final,110,7,2,1,.667,147,5,1,2,.333,3313,2019,day,3,3,Regular Season
566867,2019/03/31 10:07,Final,116,4,2,2,.500,141,3,2,2,.500,14,2019,day,4,4,Regular Season
565222,2019/03/31 10:10,Final,134,5,1,1,.500,113,0,1,1,.500,2602,2019,day,2,2,Regular Season
