GameID,Season,GameDate,Status,AwayTeamID,AwayTeamScore,AwayTeamRecordWins,AwayTeamRecordLosses,AwayTeamRecordPct,HomeTeamID,HomeTeamScore,HomeTeamRecordWins,HomeTeamRecordLosses,HomeTeamRecordPct,VenueID,DayNight,GamesInSeries,SeriesGameNumber,SeriesDescription
529407,2018,3/29/2018 9:40,Final,112,8,1,0,1,146,4,0,1,1,4169,day,4,1,Regular Season
529419,2018,3/29/2018 10:10,Final,138,4,0,1,0,121,9,1,0,0,3289,day,3,1,Regular Season
529414,2018,3/29/2018 12:05,Final,142,2,0,1,0,110,3,1,0,0,2,day,3,1,Regular Season
529411,2018,3/29/2018 12:35,Final,117,4,1,0,1,140,1,0,1,1,13,day,4,1,Regular Season
529415,2018,3/29/2018 12:37,Final,147,6,1,0,1,141,1,0,1,1,14,day,4,1,Regular Season
529406,2018,3/29/2018 13:00,Final,111,4,0,1,0,139,6,1,0,0,12,day,4,1,Regular Season
529412,2018,3/29/2018 13:05,Final,108,5,0,1,0,133,6,1,0,0,10,day,4,1,Regular Season
529413,2018,3/29/2018 13:10,Final,158,2,1,0,1,135,1,0,1,1,2680,day,3,1,Regular Season
529416,2018,3/29/2018 13:10,Final,143,5,0,1,0,144,8,1,0,0,4705,day,3,1,Regular Season
529408,2018,3/29/2018 13:15,Final,145,14,1,0,1,118,7,0,1,1,7,day,2,1,Regular Season
529418,2018,3/29/2018 16:08,Final,137,1,1,0,1,119,0,0,1,1,22,day,4,1,Regular Season
529409,2018,3/29/2018 19:10,Final,114,1,0,1,0,136,2,1,0,0,680,night,3,1,Regular Season
529410,2018,3/29/2018 19:10,Final,115,2,0,1,0,109,8,1,0,0,15,night,3,1,Regular Season
529417,2018,3/30/2018 10:10,Final,134,13,1,0,1,116,10,0,1,1,2394,day,3,1,Regular Season
529420,2018,3/30/2018 13:10,Final,120,2,1,0,1,113,0,0,1,1,2602,day,3,1,Regular Season
529427,2018,3/30/2018 16:07,Final,147,4,2,0,1,141,2,0,2,1,14,night,4,2,Regular Season
529421,2018,3/30/2018 16:10,Final,111,1,1,1,0.5,139,0,1,1,0.5,12,night,4,2,Regular Season
529422,2018,3/30/2018 16:10,Final,112,1,1,1,0.5,146,2,1,1,0.5,4169,night,4,2,Regular Season
529428,2018,3/30/2018 16:35,Final,143,5,1,1,0.5,144,4,1,1,0.5,4705,night,3,2,Regular Season
529424,2018,3/30/2018 17:05,Final,117,1,1,1,0.5,140,5,1,1,0.5,13,night,4,2,Regular Season
529423,2018,3/30/2018 18:40,Final,115,8,0,2,0,109,9,2,0,0,15,night,3,2,Regular Season
529425,2018,3/30/2018 19:05,Final,108,2,1,1,0.5,133,1,1,1,0.5,10,night,4,2,Regular Season
529426,2018,3/30/2018 19:10,Final,158,8,2,0,1,135,6,0,2,1,2680,night,3,2,Regular Season
529429,2018,3/30/2018 19:10,Final,137,1,2,0,1,119,0,0,2,1,22,night,4,2,Regular Season
529443,2018,3/31/2018 10:10,Final,138,2,0,2,0,121,6,2,0,0,3289,day,3,2,Regular Season
529444,2018,3/31/2018 11:10,Final,120,13,2,0,1,113,7,0,2,1,2602,day,3,2,Regular Season
529435,2018,3/31/2018 13:05,Final,117,9,2,1,0.667,140,3,1,2,0.667,13,day,4,3,Regular Season
529436,2018,3/31/2018 13:05,Final,108,8,2,1,0.667,133,3,1,2,0.667,10,day,4,3,Regular Season
529439,2018,3/31/2018 13:07,Final,147,3,2,1,0.667,141,5,1,2,0.667,14,day,4,3,Regular Season
529433,2018,3/31/2018 13:10,Final,114,6,1,1,0.5,136,5,1,1,0.5,680,day,3,2,Regular Season
529430,2018,3/31/2018 15:10,Final,111,3,2,1,0.667,139,2,1,2,0.667,12,night,4,3,Regular Season
529438,2018,3/31/2018 16:05,Final,142,6,1,1,0.5,110,2,1,1,0.5,2,night,3,2,Regular Season
529431,2018,3/31/2018 16:10,Final,112,10,2,1,0.667,146,6,1,2,0.667,4169,night,4,3,Regular Season
529440,2018,3/31/2018 16:10,Final,143,2,1,2,0.333,144,15,2,1,0.333,4705,night,3,3,Regular Season
529432,2018,3/31/2018 16:15,Final,145,4,2,0,1,118,3,0,2,1,7,night,2,2,Regular Season
529434,2018,3/31/2018 17:10,Final,115,2,1,2,0.333,109,1,2,1,0.333,15,night,3,3,Regular Season
529437,2018,3/31/2018 17:40,Final,158,7,3,0,1,135,3,0,3,1,2680,night,3,3,Regular Season
529442,2018,3/31/2018 18:10,Final,137,0,2,1,0.667,119,5,1,2,0.667,22,night,4,3,Regular Season
529453,2018,4/1/2018 10:10,Final,134,1,2,0,1,116,0,0,2,1,2394,day,3,2,Regular Season
529441,2018,4/1/2018 15:10,Final,134,8,3,0,1,116,6,0,3,1,2394,night,3,3,Regular Season
529451,2018,4/1/2018 10:05,Final,142,7,2,1,0.667,110,0,1,2,0.667,2,day,3,3,Regular Season
529452,2018,4/1/2018 10:07,Final,147,4,2,2,0.5,141,7,2,2,0.5,14,day,4,4,Regular Season
529445,2018,4/1/2018 10:10,Final,111,2,3,1,0.75,139,1,1,3,0.75,12,day,4,4,Regular Season
529446,2018,4/1/2018 10:10,Final,112,0,2,2,0.5,146,6,2,2,0.5,4169,day,4,4,Regular Season
529455,2018,4/1/2018 10:10,Final,138,5,1,2,0.333,121,1,2,1,0.333,3289,day,3,3,Regular Season
529449,2018,4/1/2018 12:05,Final,117,8,3,1,0.75,140,2,1,3,0.75,13,day,4,4,Regular Season
529450,2018,4/1/2018 13:05,Final,108,7,3,1,0.75,133,4,1,3,0.75,10,day,4,4,Regular Season
529448,2018,4/1/2018 13:10,Final,114,4,1,2,0.333,136,5,2,1,0.333,680,day,3,3,Regular Season
529456,2018,4/1/2018 13:10,Final,120,6,3,0,1,113,5,0,3,1,2602,day,3,3,Regular Season
529454,2018,4/1/2018 17:37,Final,137,0,2,2,0.5,119,9,2,2,0.5,22,night,4,4,Regular Season
529465,2018,4/2/2018 10:05,Final,142,4,2,2,0.5,134,5,4,0,0.5,31,day,2,1,Regular Season
