TeamID,Name,VenueID,Abbreviation,LocationName,LeagueID,DivisionID
133,Oakland Athletics,10,OAK,Oakland,103,200
134,Pittsburgh Pirates,31,PIT,Pittsburgh,104,205
135,San Diego Padres,2680,SD,San Diego,104,203
136,Seattle Mariners,680,SEA,Seattle,103,200
137,San Francisco Giants,2395,SF,San Francisco,104,203
138,St. Louis Cardinals,2889,STL,St. Louis,104,205
139,Tampa Bay Rays,12,TB,Tampa Bay,103,201
140,Texas Rangers,13,TEX,Arlington,103,200
141,Toronto Blue Jays,14,TOR,Toronto,103,201
142,Minnesota Twins,3312,MIN,Minneapolis,103,202
143,Philadelphia Phillies,2681,PHI,Philadelphia,104,204
144,Atlanta Braves,4705,ATL,Atlanta,104,204
145,Chicago White Sox,4,CWS,Chicago,103,202
146,Miami Marlins,4169,MIA,Miami,104,204
147,New York Yankees,3313,NYY,Bronx,103,201
158,Milwaukee Brewers,32,MIL,Milwaukee,104,205
108,Los Angeles Angels,1,LAA,Anaheim,103,200
109,Arizona Diamondbacks,15,ARI,Phoenix,104,203
110,Baltimore Orioles,2,BAL,Baltimore,103,201
111,Boston Red Sox,3,BOS,Boston,103,201
112,Chicago Cubs,17,CHC,Chicago,104,205
113,Cincinnati Reds,2602,CIN,Cincinnati,104,205
114,Cleveland Indians,5,CLE,Cleveland,103,202
115,Colorado Rockies,19,COL,Denver,104,203
116,Detroit Tigers,2394,DET,Detroit,103,202
117,Houston Astros,2392,HOU,Houston,103,200
118,Kansas City Royals,7,KC,Kansas City,103,202
119,Los Angeles Dodgers,22,LAD,Los Angeles,104,203
120,Washington Nationals,3309,WSH,Washington,104,204
121,New York Mets,3289,NYM,New York,104,204
