VenueID,Name
3389,Dickey-Stephens Park
3529,Duane Banks Field
4715,First Tennessee Park
4270,Generic VST
3832,AL City
3833,NL City
3834,Goodyear Ballpark
4611,One Hub Stadium Powered by Optus
4700,Fowler Park and Cunningham Field
5223,KeyArena at Seattle Center
5227,Oncenter War Memorial Arena
4589,Sydney Cricket Ground
2866,FirstEnergy Park
2929,Estadio Alberto Romo Chavez
4510,Estadio Sonora
4469,Alamodome
4350,Suplizio Field
4389,Estadio Nacional Rod Carew
2913,Estadio Jose Perez Colmenares
4824,Estadio Latinoamericano
4831,Henley Field
3410,Parque la Junta
3991,Taichung Intercontinental Baseball Stadium
4669,Southwest University Park
4670,BB&T Ballpark
4109,PK Park
3909,Estadio Adolfo Lopez Mateos
3929,Estadio De Beisbol Beto Avila
4569,Bobby Mattick Complex
5155,BMO Field
5156,Cambria County War Memorial Arena
5157,Dunkin' Donuts Center
5158,Essar Centre
5159,FirstOntario Centre
5160,Hartwall Arena
5161,Investors Group Field
5162,Kal Tire Place
5163,Lakeview Arena
5164,Meridian Centre
5165,MGM Grand Garden Arena
5166,Mile One Centre
5167,Pegula Ice Arena
5168,PPL Center
5169,Rabobank Arena
5170,SaskTel Centre
5171,Scandinavium
5172,Scotiabank Centre
5173,Sprint Center
5174,Tate Rink
5175,TCF Bank Stadium
5176,The O2 Arena
5177,The Q Centre
5178,T-Mobile Arena
5179,Videotron Centre
5180,Yubileyny Sports Palace
5295,The Battery Atlanta
5315,Max Bishop Stadium
4410,Merlin Street Oval
2869,Estadio Hermanos Serdan
4169,Marlins Park
5185,Budweiser Gardens
4985,Dunkin' Donuts Park
5320,Parque Domingo Santana
5321,Estadio Francisco Villa
1,Angel Stadium
2,Oriole Park at Camden Yards
3,Fenway Park
4,Guaranteed Rate Field
7,Kauffman Stadium
10,Oakland Coliseum
12,Tropicana Field
14,Rogers Centre
15,Chase Field
16,Turner Field
20,Hard Rock Stadium
22,Dodger Stadium
401,TBD
680,T-Mobile Park
2392,Minute Maid Park
2394,Comerica Park
2395,Oracle Park
2397,Tokyo Dome
2500,Tempe Diablo Stadium
2503,Cashman Field
2504,Champion Stadium
2506,City of Palms Park
2507,Hohokam Stadium
2508,Ed Smith Stadium
2510,Estadio Jose Bernardo Perez
2511,Publix Field at Joker Marchant Stadium
2512,UPMC Park
2514,Osceola County Stadium
2516,The Diamond
2518,American Family Fields of Phoenix
2520,Roger Dean Chevrolet Stadium
2523,George M. Steinbrenner Field
2525,Jack Russell Memorial Stadium
2526,LECOM Park
2527,Parque Foro Sol
2528,Dell Diamond
2530,Peoria Stadium
2534,Charlotte Sports Park
2535,Hiram Bithorn Stadium
2536,Dunedin Stadium
31,PNC Park
2541,Durham Bulls Athletic Park
4489,Palm Meadows Baseball Facility
4490,Albert Park
4509,Johnson Stadium at Doubleday Field
3469,Appalachian Power Park
3470,Melaleuca Field
2542,AutoZone Park
2603,Surprise Stadium
2623,Regions Park
2625,Five County Stadium
2640,Chukchansi Park
2680,Petco Park
2681,Citizens Bank Park
2682,AT&T Field
2683,Isotopes Park
2513,Space Coast Stadium
2517,Holman Stadium
2524,Phoenix Municipal Stadium
2529,Raley Field
2532,Scottsdale Stadium
2540,Joseph P. Riley Jr. Ballpark
5,Progressive Field
13,Globe Life Park in Arlington
24,Olympic Stadium
32,Miller Park
2602,Great American Ball Park
2700,Spectrum Field
2701,Estadio de Beisbol Monterrey
2519,CenturyLink Sports Complex Fields
17,Wrigley Field
2501,Kino Veterans Memorial Stadium
19,Coors Field
2722,Hammons Field
2723,First National Bank Field
2724,Louisville Slugger Field
2725,NelsonCorp Field
2726,Dan Daniel Memorial Park
2727,Whitaker Bank Ballpark
2728,San Manuel Stadium
